internalTaxonId,scientificName,name,language,main
6909,Dugong dugon,Dugong,French,false
6909,Dugong dugon,Duyong,Indonesian,false
6909,Dugong dugon,Lembu Laut ,Malay,false
6909,Dugong dugon,Seekuh,German,false
6909,Dugong dugon,Dugong,English,true
10303,Hydrodamalis gigas,Steller's Sea Cow,English,true
22102,Trichechus inunguis,Amazonian Manatee,English,false
22102,Trichechus inunguis,South American Manatee,English,false
22102,Trichechus inunguis,Lamantin D'Amérique Du Sud,French,false
22102,Trichechus inunguis,Lamantin De L'Amazone,French,false
22102,Trichechus inunguis,Lamantino Amazónico,Spanish; Castilian,false
22102,Trichechus inunguis,Manatí Amazónico,Spanish; Castilian,false
22102,Trichechus inunguis,Peixe-boi Amazónico,Portuguese,false
22102,Trichechus inunguis,Peixe-boi da Amazônia,Portuguese,false
22102,Trichechus inunguis,Vaca Marina,Spanish; Castilian,false
41778,Tayassu pecari,Cariblanco,Spanish; Castilian,false
41778,Tayassu pecari,Chancho de Monte,Spanish; Castilian,false
41778,Tayassu pecari,Pécari à lèvres blanches,French,false
41778,Tayassu pecari,Pecari de Labios Blanco,Spanish; Castilian,false
41778,Tayassu pecari,White-lipped Peccary,English,true
21174,Sus verrucosus,Javan Pig,English,false
21174,Sus verrucosus,Javan Warty Pig,English,true
21175,Sus cebifrons,Visayan Warty Pig,English,true
21176,Sus philippensis,Philippine Warty Pig,English,true
21178,Sus bucculentus,Heude's Pig,English,false
21178,Sus bucculentus,Vietnam Warty Pig,English,false
21178,Sus bucculentus,Indo-chinese Warty Pig,English,true
136340,Sus oliveri,Oliver's Warty Pig,English,true
136446,Babyrousa celebensis,North Sulawesi Babirusa,English,false
136446,Babyrousa celebensis,Babiroussa,French,false
136446,Babyrousa celebensis,Babirusa,Spanish; Castilian,false
136446,Babyrousa celebensis,Hirscheber,German,false
136446,Babyrousa celebensis,Sulawesi-Hirscheber,German,false
136446,Babyrousa celebensis,Sulawesi Babirusa,English,true
136472,Babyrousa togeanensis,Malenge Babirusa,English,false
136472,Babyrousa togeanensis,Togian Babirusa,English,false
136472,Babyrousa togeanensis,Babiroussa de l'île Togian,French,false
136472,Babyrousa togeanensis,Babiroussa des Togian,French,false
136472,Babyrousa togeanensis,Babirusa de Togian ,Spanish; Castilian,false
136472,Babyrousa togeanensis,Hirscheber,German,false
136472,Babyrousa togeanensis,Togian-Hirscheber,German,false
136472,Babyrousa togeanensis,Togian Islands Babirusa,English,true
4162,Cephalorhynchus hectori,New Zealand Dolphin,English,false
4162,Cephalorhynchus hectori,New Zealand White-front Dolphin,English,false
4162,Cephalorhynchus hectori,White-headed Dolphin,English,false
4162,Cephalorhynchus hectori,Dauphin d'Hector,French,false
4162,Cephalorhynchus hectori,Delfín de Héctor,Spanish; Castilian,false
4162,Cephalorhynchus hectori,Hector-Delfin,German,false
4162,Cephalorhynchus hectori,Neuseeland-Delfin,German,false
4162,Cephalorhynchus hectori,Tunina de Héctor,Spanish; Castilian,false
4162,Cephalorhynchus hectori,Hector's Dolphin,English,true
44578138,Anadia blakei,Blake's Anadia,English,true
44578163,Anadia brevifrontalis,Shorthead Anadia,English,true
44578212,Anadia pamplonensis,Pamplona Anadia,English,true
44578813,Riama simotera,O'Shaughnessy's Lightbulb Lizard,English,true
44579003,Enyalioides rubrigularis,Lagartijas de Palo Gargantirroja,Spanish; Castilian,false
44579003,Enyalioides rubrigularis,Red-throated Woodlizard,English,true
44579339,Lepidoblepharis conolepis,Salamanquesa de Tandapi,Spanish; Castilian,true
44580012,Corallus blombergi,Blomber’s Tree Boa,English,true
44580193,Drymoluber apurimacensis,Brazilian Woodland Racer,English,true
44581823,Saphenophis sneiderni,Saphenophis Snake,English,true
44791445,Ameles fasciipennis,Spined Dwarf Mantis,English,true
44791483,Ameles gracilis,Delicate Dwarf Mantis,English,true
44791491,Ameles limbata,Fringed Dwarf Mantis,English,true
44792111,Pseudoyersinia canariensis,Canary Dwarf Mantis,English,true
44792252,Pseudoyersinia subaptera,Short-winged Dwarf Mantis,English,true
44710554,Bradyporus macrogaster,Big-Bellied Glandular Bush-Cricket,English,true
135993,Melanophryniscus admirabilis,Sapo-verde-de-barriga-vermelha ,Portuguese,false
135993,Melanophryniscus admirabilis,Red-belly toad,English,true
44929503,Tetradactylus udzungwensis,Udzungwa Long-tailed Seps,English,true
176357,Atractus nicefori,Northern Ground Snake,English,true
178425,Sphaerodactylus scapularis,Boulenger's Least Gecko,English,true
44979651,Buhoma procterae,Uluguru Forest Snake,English,true
44980116,Atheris desaixi,Mount Kenya Bush Viper,English,false
44980116,Atheris desaixi,Ashe's Bush Viper,English,true
44980158,Atheris matildae,Matilda's Horned Viper,English,true
44648018,Cnemaspis elgonensis,Mt Elgon Forest Gecko,English,true
13143,Melursus ursinus,Bhalu,Hindi,false
13143,Melursus ursinus,Oso Perezoso,Spanish; Castilian,false
